Date,Time,kWh Forn,kWh Rec,kVARh Forn,kVARh Rec,Vll an mean,Vll bn mean,Vll cn mean,Ia mean,Ib mean,Ic mean,kWh FornCP,kWh RecCP,kVARh FornCP,kVARh RecCP
3/1/14,05:25:00000,659186035,0,0,4711998,40946972656,37466859375,41070011719,66110909,64512146,68702347,659186035,0,0,4711998
3/1/14,05:30:00000,657240845,0,0,6888121,40936476563,37364492188,41060589844,66057030,64250542,68661034,657240845,0,0,6888121
3/1/14,05:35:00000,657549683,0,0,7105403,40880101563,37276875000,41009222656,66285439,64303024,68793053,657549683,0,0,7105403
3/1/14,05:40:00000,657585754,0,0,5647924,40951316406,37502277344,41073816406,66097313,64029518,68617340,657585754,0,0,5647924
3/1/14,05:45:00000,652520874,0,0,9339932,40963992188,37428765625,41087421875,65636131,63655411,68024338,652520874,0,0,9339932
3/1/14,05:50:00000,657155212,0,0,6232232,41038906250,37285785156,41159558594,66093994,64152679,68511971,657155212,0,0,6232232
3/1/14,05:55:00000,662835388,0,1362417,1,41127601563,37863367188,41242171875,66436920,63956406,68670067,662835388,0,1362417,1
3/1/14,06:00:00000,663225769,0,1,1017098,41107828125,37709937500,41225789063,66509201,64111557,68919014,663225769,0,1,1017098
3/1/14,06:05:00000,660830139,0,0,2326153,41151281250,37632167969,41266042969,66176666,63933353,68746780,660830139,0,0,2326153
3/1/14,06:10:00000,625015137,0,0,31233301,41174777344,37989898438,41292210938,62583374,59963001,65103157,625015137,0,0,31233301
3/1/14,06:15:00000,612341919,0,0,42944836,41152902344,37884308594,41271546875,61360306,58840893,64093552,612341919,0,0,42944836
3/1/14,06:20:00000,591239685,0,0,57247013,41189648438,37693519531,41309539063,59436993,56974739,62169487,591239685,0,0,57247013
3/1/14,06:25:00000,574104919,0,0,68674515,41235101563,37971031250,41355742188,57666939,55416405,60135086,574104919,0,0,68674515
3/1/14,06:30:00000,566064575,0,0,69966949,41252933594,37605113281,41380175781,57112637,54710190,59585018,566064575,0,0,69966949
3/1/14,06:35:00000,557393066,0,0,85482117,40716382813,37331691406,40845468750,56943241,54841492,59603165,557393066,0,0,85482117
3/1/14,06:40:00000,551027893,0,0,95919640,40282148438,36903007813,40412378906,56982441,55064297,59798874,551027893,0,0,95919640
3/1/14,06:45:00000,544834351,0,0,95377373,40244277344,37305648438,40372289063,56106232,54390812,58884296,544834351,0,0,95377373
3/1/14,06:50:00000,538770996,0,0,97115532,40202902344,36966265625,40330027344,55873405,53934536,58485832,538770996,0,0,97115532
3/1/14,06:55:00000,535471863,0,0,98223053,40204472656,36954074219,40327246094,55497925,53618160,58284122,535471863,0,0,98223053
3/1/14,07:00:00000,539027527,0,0,92616692,40224464844,36850636719,40347328125,55912766,53819168,58531582,539027527,0,0,92616692
3/1/14,07:05:00000,534070862,0,0,93079063,40184992188,36692441406,40309371094,55627762,53470016,58074017,534070862,0,0,93079063
3/1/14,07:10:00000,535282959,0,0,88924164,40200812500,36587476563,40325968750,55672760,53407784,58343052,535282959,0,0,88924164
3/1/14,07:15:00000,540463501,0,0,83401634,40269250000,36417531250,40390714844,56129623,53798203,58885151,540463501,0,0,83401634
3/1/14,07:20:00000,545709412,0,0,76231003,40281488281,36307664063,40403957031,56860924,54139412,59180477,545709412,0,0,76231003
3/1/14,07:25:00000,554451538,0,0,71080681,40278121094,36427812500,40397449219,57429035,55453060,59576134,554451538,0,0,71080681
3/1/14,07:30:00000,551788696,0,0,68131561,40272808594,36420121094,40388597656,57147785,55170906,59210484,551788696,0,0,68131561
3/1/14,07:35:00000,556316406,0,0,62063492,40222636719,36617652344,40335464844,57526245,55334602,59653908,556316406,0,0,62063492
3/1/14,07:40:00000,563850891,0,0,54876625,40192652344,36468019531,40304277344,57969227,56035721,61030853,563850891,0,0,54876625
3/1/14,07:45:00000,562367126,0,0,53891376,40170957031,36679339844,40287355469,57866211,55616856,60730793,562367126,0,0,53891376
3/1/14,07:50:00000,570236755,0,0,50874176,40103648438,36402792969,40223929688,58825851,56791447,61562012,570236755,0,0,50874176
3/1/14,07:55:00000,567002625,0,0,49458408,40063191406,36337691406,40182894531,58554329,56745571,61048107,567002625,0,0,49458408
3/1/14,08:00:00000,572835083,0,0,44998539,40055625000,36345921875,40179109375,59063061,57255428,61727520,572835083,0,0,44998539
3/1/14,08:05:00000,580635620,0,0,40803970,40040601563,36724136719,40158863281,59575077,57864910,62322922,580635620,0,0,40803970
3/1/14,08:10:00000,591069275,0,0,38469940,40064875000,36576464844,40177730469,60669708,59149525,63297123,591069275,0,0,38469940
3/1/14,08:15:00000,598467468,0,0,36641968,40048601563,36234339844,40160132813,61498249,60129505,64423615,598467468,0,0,36641968
3/1/14,08:20:00000,603006592,0,0,32414967,40033011719,36614601563,40142886719,61614315,60258686,64890594,603006592,0,0,32414967
3/1/14,08:25:00000,606592529,0,0,28393709,40014839844,36500984375,40124597656,62108360,60706886,65233604,606592529,0,0,28393709
3/1/14,08:30:00000,610172791,0,0,23490824,39991722656,36502800781,40105621094,62591873,60852528,65686447,610172791,0,0,23490824
3/1/14,08:35:00000,607352905,0,0,23064043,39971835938,36661460938,40080921875,62330593,60624191,65039398,607352905,0,0,23064043
3/1/14,08:40:00000,616333923,0,0,19940733,39964808594,36624214844,40075695313,63225483,61418301,66185081,616333923,0,0,19940731
3/1/14,08:45:00000,613321960,0,0,21033525,39935472656,36577441406,40038074219,62962585,61207333,65917458,613321960,0,0,21033525
3/1/14,08:50:00000,618481201,0,0,17580248,39907011719,36427917969,40010960938,63638508,61961861,66377243,618481201,0,0,17580250
3/1/14,08:55:00000,621353943,0,0,15554778,39896335938,36389234375,39996734375,63965782,62133217,66855194,621353943,0,0,15554778
3/1/14,09:00:00000,626829956,0,2452240,4079348,40510750000,36258425781,40611210938,63951515,62126698,66828423,626829956,0,2452240,4079349
3/1/14,09:05:00000,632906982,0,5759931,0,40659734375,36331167969,40760558594,64509491,62296619,67315308,632906982,0,5759931,0
3/1/14,09:10:00000,633591125,0,7069795,0,40625746094,36212949219,40725878906,64610641,62383568,67671600,633591125,0,7069795,0
3/1/14,09:15:00000,640879089,0,10371855,0,40579246094,36280437500,40679578125,65440948,63218826,68240036,640879089,0,10371855,0
3/1/14,09:20:00000,641594360,0,14755898,0,40572812500,36137964844,40674906250,65527863,63226139,68684273,641594360,0,14755898,0
3/1/14,09:25:00000,653727417,0,18475309,0,40585625000,36252664063,40682757813,66685432,64501846,69741447,653727417,0,18475309,0
3/1/14,09:30:00000,659760559,0,22999743,0,40603746094,36556414063,40696468750,67095184,65183708,69900734,659760559,0,22999743,0
3/1/14,09:35:00000,652921631,0,21627308,0,40601835938,36199875000,40701480469,66365654,64690361,69720940,652921631,0,21627308,0
3/1/14,09:40:00000,658434082,0,24440527,0,40538941406,36315890625,40635222656,67003510,65144653,70321503,658434082,0,24440527,0
3/1/14,09:45:00000,661944519,0,24642616,0,40518246094,35854507813,40610925781,67588127,65899330,71025642,661944519,0,24642616,0
3/1/14,09:50:00000,664821045,0,25865391,0,40511542969,35895695313,40606265625,67785873,66313911,71253792,664821045,0,25865391,0
3/1/14,09:55:00000,664894043,0,28983568,0,40498261719,36464730469,40587804688,67499794,66184303,70662514,664894043,0,28983568,0
3/1/14,10:00:00000,674066711,0,33261360,0,40489398438,36375226563,40581765625,68576508,67112137,71726265,674066711,0,33261360,0
3/1/14,10:05:00000,676088867,0,38201809,0,40753914063,36289566406,40839253906,68535088,67070877,71802231,676088867,0,38201809,0
3/1/14,10:10:00000,677370911,0,40758102,0,40713972656,36090164063,40804015625,68801796,67425545,72129776,677370911,0,40758102,0
3/1/14,10:15:00000,677917725,0,42583210,0,40708500000,36126578125,40797796875,68635147,67592796,72304649,677917725,0,42583210,0
3/1/14,10:20:00000,681998413,0,42978420,0,40804476563,36202425781,40888691406,68945602,67722404,72640381,681998413,0,42978420,0
